iucn_sid,sciname,worms_name,mapped
154914,rhombosolea plebeia,rhombosolea plebeia,FALSE
154915,teixeirichthys jordani,teixeirichthys jordani,FALSE
154916,chaenophryne longiceps,chaenophryne longiceps,FALSE
154917,favonigobius exquisitus,favonigobius exquisitus,FALSE
154918,pycnocraspedum squamipinne,pycnocraspedum squamipinne,FALSE
154919,ateleopus japonicus,ateleopus japonicus,FALSE
154920,chrysiptera flavipinnis,chrysiptera flavipinnis,FALSE
154921,liopropoma longilepis,liopropoma longilepis,FALSE
154922,lycenchelys hippopotamus,lycenchelys hippopotamus,FALSE
154923,luciobrotula lineata,luciobrotula lineata,FALSE
154924,notopogon macrosolen,notopogon macrosolen,TRUE
154926,xenopoclinus leprosus,xenopoclinus leprosus,TRUE
154927,entomacrodus macrospilus,entomacrodus macrospilus,TRUE
154928,antigonia combatia,antigonia combatia,FALSE
154929,benthocometes robustus,benthocometes robustus,FALSE
154930,batrachoides surinamensis,batrachoides surinamensis,FALSE
154931,pseudochromis sankeyi,pseudochromis sankeyi,FALSE
154932,parupeneus posteli,parupeneus posteli,FALSE
154933,tetrosomus gibbosus,tetrosomus gibbosus,FALSE
154934,congrogadus winterbottomi,congrogadus winterbottomi,FALSE
154935,anacanthus barbatus,anacanthus barbatus,FALSE
154936,chaunax flammeus,chaunax flammeus,FALSE
154937,erisphex pottii,erisphex pottii,FALSE
154938,bhanotia nuda,bhanotia nuda,TRUE
154939,apterichtus kendalli,apterichtus kendalli,FALSE
154940,pseudanthias pictilis,pseudanthias pictilis,FALSE
154941,ethadophis merenda,ethadophis merenda,FALSE
154942,notarius troschelii,notarius troschelii,FALSE
154943,heteroclinus whiteleggii,heteroclinus whiteleggii,TRUE
154944,parapercis striolata,parapercis striolata,FALSE
154945,pseudanthias cichlops,pseudanthias cichlops,FALSE
154946,scomberomorus queenslandicus,scomberomorus queenslandicus,TRUE
154947,ecsenius trilineatus,ecsenius trilineatus,TRUE
154948,astronesthes indopacificus,astronesthes indopacificus,FALSE
154949,paraliparis atrolabiatus,paraliparis atrolabiatus,FALSE
154950,acyrtops amplicirrus,acyrtops amplicirrus,FALSE
154951,lethrinus genivittatus,lethrinus genivittatus,FALSE
154952,apogonichthys ocellatus,apogonichthys ocellatus,FALSE
154953,lycodes jugoricus,lycodes jugoricus,FALSE
154954,thalassoma lucasanum,thalassoma lucasanum,TRUE
154955,sillago indica,sillago indica,FALSE
154956,zeus capensis,zeus capensis,FALSE
154957,hypsoblennius striatus,hypsoblennius striatus,TRUE
154958,heteroclinus roseus,heteroclinus roseus,TRUE
154959,bryaninops amplus,bryaninops amplus,FALSE
154960,scarus oviceps,scarus oviceps,TRUE
154961,parapercis somaliensis,parapercis somaliensis,FALSE
154962,coelorinchus mycterismus,coelorinchus mycterismus,FALSE
154963,priolepis sticta,priolepis sticta,FALSE
154964,hoplunnis schmidti,hoplunnis schmidti,FALSE
154965,acreichthys hajam,acreichthys hajam,FALSE
154966,thamnaconus fijiensis,thamnaconus fijiensis,FALSE
154967,amblygobius buanensis,amblygobius buanensis,FALSE
154968,etrumeus whiteheadi,etrumeus whiteheadi,TRUE
154969,kuronezumia bubonis,kuronezumia bubonis,FALSE
154970,trachinotus goodei,trachinotus goodei,FALSE
154971,scarus viridifucatus,scarus viridifucatus,TRUE
154972,parablennius zvonimiri,parablennius zvonimiri,TRUE
154973,bassozetus robustus,bassozetus robustus,FALSE
154974,xanthichthys mento,xanthichthys mento,FALSE
154975,anchoa delicatissima,anchoa delicatissima,TRUE
154976,drombus halei,drombus halei,FALSE
154977,eopsetta jordani,eopsetta jordani,FALSE
154978,apogon indicus,apogon indicus,FALSE
154979,bahaba chaptis,bahaba chaptis,FALSE
154980,chirodactylus jessicalenorum,chirodactylus jessicalenorum,FALSE
154981,paraliparis copei,paraliparis copei,FALSE
154982,daector dowi,daector dowi,FALSE
154983,paralichthys dentatus,paralichthys dentatus,FALSE
154984,physiculus roseus,physiculus roseus,FALSE
154986,paraclinus magdalenae,paraclinus magdalenae,TRUE
154987,acanthistius brasilianus,acanthistius brasilianus,FALSE
154988,scopelosaurus herwigi,scopelosaurus herwigi,FALSE
154989,sardinella longiceps,sardinella longiceps,TRUE
154990,calamopteryx jeb,calamopteryx jeb,FALSE
154991,pholis nebulosa,pholis nebulosa,FALSE
154992,lophiodes caulinaris,lophiodes caulinaris,FALSE
154993,pteraclis aesticola,pteraclis aesticola,FALSE
154994,plectranthias pallidus,plectranthias pallidus,FALSE
154995,diaphus holti,diaphus holti,FALSE
154996,calumia godeffroyi,calumia godeffroyi,FALSE
154997,bregmaceros atlanticus,bregmaceros atlanticus,FALSE
154998,argyropelecus hemigymnus,argyropelecus hemigymnus,FALSE
154999,etelis carbunculus,etelis carbunculus,FALSE
155000,minous dempsterae,minous dempsterae,FALSE
155001,chalixodytes tauensis,chalixodytes tauensis,FALSE
155002,bovichtus chilensis,bovichtus chilensis,FALSE
155003,astronesthes nigroides,astronesthes nigroides,FALSE
155004,congrogadus amplimaculatus,congrogadus amplimaculatus,FALSE
155005,coloconger japonicus,coloconger japonicus,FALSE
155006,coris caudimacula,coris caudimacula,TRUE
155007,allomycterus pilatus,allomycterus pilatus,FALSE
155008,myripristis seychellensis,myripristis seychellensis,FALSE
155009,pseudobathylagus milleri,pseudobathylagus milleri,FALSE
155010,scorpaenopsis ramaraoi,scorpaenopsis ramaraoi,FALSE
155011,careproctus minimus,careproctus minimus,FALSE
155012,sternoptyx obscura,sternoptyx obscura,FALSE
155013,parablennius parvicornis,parablennius parvicornis,TRUE
155014,alectis ciliaris,alectis ciliaris,FALSE
155015,artediellichthys nigripinnis,artediellichthys nigripinnis,FALSE
155016,orthopristis reddingi,orthopristis reddingi,FALSE
155017,labroides phthirophagus,labroides phthirophagus,TRUE
155018,sciades parkeri,sciades parkeri,FALSE
155019,calliclinus nudiventris,calliclinus nudiventris,TRUE
155020,anchoa walkeri,anchoa walkeri,TRUE
155021,coryphopterus hyalinus,coryphopterus hyalinus,FALSE
155022,uranoscopus polli,uranoscopus polli,FALSE
155023,callionymus sagitta,callionymus sagitta,FALSE
155024,amphichthys cryptocentrus,amphichthys cryptocentrus,FALSE
155025,siganus rivulatus,siganus rivulatus,FALSE
155026,pelates sexlineatus,helotes sexlineatus,FALSE
155028,artedidraco glareobarbatus,artedidraco glareobarbatus,FALSE
155029,salarias ceramensis,salarias ceramensis,TRUE
155030,macroramphosus scolopax,macroramphosus scolopax,TRUE
155031,callionymus whiteheadi,callionymus whiteheadi,FALSE
155032,cirrhilabrus rubripinnis,cirrhilabrus rubripinnis,TRUE
155033,halichoeres melas,halichoeres melas,TRUE
155034,crossosalarias macrospilus,crossosalarias macrospilus,TRUE
155035,parapercis signata,parapercis signata,FALSE
155036,caulolatilus hubbsi,caulolatilus hubbsi,FALSE
155037,physiculus parini,physiculus parini,FALSE
155038,percis matsuii,percis matsuii,FALSE
155039,saurenchelys fierasfer,saurenchelys fierasfer,FALSE
155040,etropus rimosus,etropus rimosus,FALSE
155041,caulolatilus dooleyi,caulolatilus dooleyi,FALSE
155042,plesiops nigricans,plesiops nigricans,FALSE
155043,decapterus russelli,decapterus russelli,FALSE
155044,buglossidium luteum,buglossidium luteum,FALSE
155045,merluccius hernandezi,merluccius hernandezi,FALSE
155046,apogon margaritophorus,ostorhinchus margaritophorus,FALSE
155047,cocotropus roseus,cocotropus roseus,FALSE
155048,zoarchias neglectus,zoarchias neglectus,FALSE
155049,lepidotrigla kishinouyi,lepidotrigla kishinouyi,FALSE
155050,callogobius clitellus,callogobius clitellus,FALSE
155051,microgobius tabogensis,microgobius tabogensis,FALSE
155052,dactyloptena gilberti,dactyloptena gilberti,FALSE
155053,phucocoetes latitans,phucocoetes latitans,FALSE
155054,plagiogeneion macrolepis,plagiogeneion macrolepis,FALSE
155055,himantolophus cornifer,himantolophus cornifer,FALSE
155056,cyttus novaezealandiae,cyttus novaezealandiae,FALSE
155057,uranoscopus japonicus,uranoscopus japonicus,FALSE
155058,hippoglossina stomata,hippoglossina stomata,FALSE
155059,gillellus healae,gillellus healae,TRUE
155060,lepidotrigla venusta,lepidotrigla venusta,FALSE
155061,pomacentrus callainus,pomacentrus callainus,FALSE
155062,dactylanthias aplodactylus,dactylanthias aplodactylus,FALSE
155063,dicrolene hubrechti,dicrolene hubrechti,FALSE
155064,apogon notatus,ostorhinchus notatus,FALSE
155065,stelgistrum beringianum,stelgistrum beringianum,FALSE
155066,samariscus huysmani,samariscus huysmani,FALSE
155067,pseudanthias caudalis,pseudanthias caudalis,FALSE
155068,remora brachyptera,remora brachyptera,FALSE
155069,ophichthus melanoporus,ophichthus melanoporus,FALSE
155070,samariscus filipectoralis,samariscus filipectoralis,FALSE
155071,gorgasia maculata,gorgasia maculata,FALSE
155072,conger verreauxi,conger verreauxi,FALSE
155073,doryrhamphus janssi,doryrhamphus janssi,TRUE
155074,patagonotothen cornucola,patagonotothen cornucola,FALSE
155075,remora albescens,remora albescens,FALSE
155076,halichoeres notospilus,halichoeres notospilus,TRUE
155077,lycenchelys monstrosa,lycenchelys monstrosa,FALSE
155078,pterygotrigla hemisticta,pterygotrigla hemisticta,FALSE
155079,torquigener tuberculiferus,torquigener tuberculiferus,TRUE
155080,hyporhamphus roberti,hyporhamphus roberti,FALSE
155081,hyperoglyphe perciformis,hyperoglyphe perciformis,FALSE
155082,eumicrotremus barbatus,eumicrotremus barbatus,FALSE
155083,centropyge acanthops,centropyge acanthops,TRUE
155084,champsodon capensis,champsodon capensis,FALSE
155085,pseudocyttus maculatus,pseudocyttus maculatus,FALSE
155086,omobranchus fasciolatus,omobranchus fasciolatus,TRUE
155087,pseudopercis numida,pseudopercis numida,FALSE
155088,enophrys taurina,enophrys taurina,FALSE
155089,lutjanus decussatus,lutjanus decussatus,FALSE
155090,cociella punctata,cociella punctata,FALSE
155091,enchelycore schismatorhynchus,enchelycore schismatorhynchus,FALSE
155093,derichthys serpentinus,derichthys serpentinus,FALSE
155094,clinocottus globiceps,clinocottus globiceps,FALSE
155095,cantheschenia longipinnis,cantheschenia longipinnis,FALSE
155096,sarda sarda,sarda sarda,TRUE
155097,caesio caerulaurea,caesio caerulaurea,FALSE
155098,chromis flavicauda,chromis flavicauda,FALSE
155099,omobranchus anolius,omobranchus anolius,TRUE
155101,careproctus mederi,careproctus mederi,FALSE
155102,cheilodipterus singapurensis,cheilodipterus singapurensis,FALSE
155103,dactyloscopus zelotes,dactyloscopus zelotes,TRUE
155104,cheilopogon pinnatibarbatus,cheilopogon pinnatibarbatus,FALSE
155105,platycephalus indicus,platycephalus indicus,FALSE
155106,kali macrodon,kali macrodon,FALSE
155107,monopenchelys acuta,monopenchelys acuta,FALSE
155108,omobranchus rotundiceps,omobranchus rotundiceps,TRUE
155109,praealticus dayi,praealticus dayi,TRUE
155110,opistognathus scops,opistognathus scops,FALSE
155111,congiopodus torvus,congiopodus torvus,FALSE
155112,stemonosudis gracilis,stemonosudis gracilis,FALSE
155113,saurida pseudotumbil,saurida pseudotumbil,FALSE
155114,diancistrus novaeguineae,diancistrus novaeguineae,FALSE
155115,lethrinus reticulatus,lethrinus reticulatus,FALSE
155116,sardinella albella,sardinella albella,TRUE
155117,melamphaes spinifer,melamphaes spinifer,FALSE
155118,lethrinus conchyliatus,lethrinus conchyliatus,FALSE
155119,odontesthes incisa,odontesthes incisa,FALSE
155120,naso vlamingii,naso vlamingii,TRUE
155121,paraclinus integripinnis,paraclinus integripinnis,TRUE
